Image Index,Split,Severity Rating,Depth (m),Area (m^2),Estimated Volume (m^3),Geometric Location
0,train,medium,0.04908909452410698,0.035888671875,0.0017617424060165346,"(7, 13)"
0,train,high,0.07016109389189608,0.64599609375,0.04532379258739185,"(25, 24)"
0,train,medium,0.029087670211888086,0.514404296875,0.014962822543078173,"(18, 11)"
1,train,high,0.0661098916816173,0.0478515625,0.00316346161367114,"(11, 27)"
2,train,high,0.05720656106798348,0.107666015625,0.006159202497798027,"(22, 5)"
2,train,medium,0.0355234261651569,0.035888671875,0.0012748885855171056,"(8, 10)"
2,train,high,0.06058618428307269,0.1435546875,0.008697430751573912,"(15, 17)"
2,train,medium,0.04413019397532629,0.514404296875,0.02270076140283508,"(24, 20)"
2,train,high,0.07065862005277226,0.0478515625,0.003381125373618985,"(9, 20)"
3,train,high,0.06864969227046089,0.11962890625,0.008212487600714316,"(24, 6)"
3,train,high,0.06339208238519181,0.634033203125,0.04019268504744705,"(8, 7)"
3,train,high,0.0730278276405625,0.45458984375,0.03319770875652524,"(24, 21)"
4,train,high,0.0685792579317147,0.11962890625,0.008204061617807666,"(4, 9)"
4,train,high,0.06505504654092241,0.0478515625,0.0031129856254933576,"(4, 15)"
4,train,high,0.06777632998300957,0.0478515625,0.0032432032902026064,"(3, 27)"
4,train,medium,0.05154144112224039,0.40673828125,0.020963877175208128,"(22, 9)"
5,train,high,0.05662298706201176,0.035888671875,0.0020321238032509105,"(26, 12)"
6,train,high,0.06566864847538255,0.035888671875,0.002356760577607723,"(12, 22)"
6,train,high,0.0670426471565431,0.3349609375,0.022456667944037383,"(21, 8)"
6,train,medium,0.030689920136833207,0.59814453125,0.018357007894346033,"(22, 18)"
6,train,high,0.07443638766684957,0.0478515625,0.0035618974567144814,"(3, 8)"
6,train,high,0.060899385226418426,0.26318359375,0.01602771906105446,"(11, 5)"
7,train,high,0.06185616178465413,0.478515625,0.029599139916484888,"(23, 21)"
7,train,high,0.05679732078888442,0.346923828125,0.019704343955323427,"(10, 21)"
7,train,high,0.07358229772754936,0.1435546875,0.010563083755810308,"(16, 6)"
7,train,high,0.07213496543560523,0.634033203125,0.045735963192447944,"(26, 6)"
7,train,high,0.06600074919599189,0.40673828125,0.02684503128919006,"(7, 10)"
7,train,high,0.060946406525352555,0.035888671875,0.0021872855857487366,"(15, 28)"
8,train,medium,0.03694454204256256,0.322998046875,0.01193301492243903,"(15, 25)"
8,train,high,0.06020452948601098,0.035888671875,0.0021606606041122104,"(14, 9)"
9,train,high,0.06945346775191383,0.035888671875,0.002492592714729329,"(4, 20)"
10,train,medium,0.035819179377394046,0.107666015625,0.0038565083265211853,"(6, 21)"
10,train,medium,0.0488950427308322,0.107666015625,0.0052643344346428225,"(24, 8)"
10,train,medium,0.03482665930258289,0.634033203125,0.02208125835175971,"(25, 23)"
10,train,medium,0.05379803536389609,0.11962890625,0.00643580012898171,"(14, 27)"
10,train,medium,0.05136484251667627,0.107666015625,0.0055302479369761315,"(17, 9)"
11,train,high,0.0631042010408056,0.26318359375,0.016607990410641708,"(27, 23)"
11,train,high,0.06648319317969444,0.57421875,0.03817589608365266,"(9, 19)"
11,train,medium,0.02860864471898689,0.562255859375,0.016085378122028027,"(22, 9)"
